Year;DEC;DIV;EFF;SOB
2015;538,61;538,61;538,61;538,61
2016;548,84;541,04;535,17;532,57
2017;559,07;543,47;531,73;526,53
2018;569,29;545,89;528,29;520,49
2019;579,52;548,32;524,85;514,45
2020;589,74;550,74;521,41;508,41
2021;599,97;553,17;517,97;502,37
2022;610,19;555,59;514,53;496,33
2023;620,42;558,02;511,09;490,29
2024;630,65;560,45;507,65;484,25
2025;640,87;562,87;504,2;478,2
2026;651,1;565,3;500,76;472,16
2027;661,32;567,72;497,32;466,12
2028;671,55;570,15;493,88;460,08
2029;681,77;572,57;490,44;454,04
2030;692;575;487;448
2031;701,7;576,05;487,4;447,15
2032;711,4;577,1;487,8;446,3
2033;721,1;578,15;488,2;445,45
2034;730,8;579,2;488,6;444,6
2035;740,5;580,25;489;443,75
2036;750,2;581,3;489,4;442,9
2037;759,9;582,35;489,8;442,05
2038;769,6;583,4;490,2;441,2
2039;779,3;584,45;490,6;440,35
2040;789;585,5;491;439,5
2041;798,7;586,55;491,4;438,65
2042;808,4;587,6;491,8;437,8
2043;818,1;588,65;492,2;436,95
2044;827,8;589,7;492,6;436,1
2045;837,5;590,75;493;435,25
2046;847,2;591,8;493,4;434,4
2047;856,9;592,85;493,8;433,55
2048;866,6;593,9;494,2;432,7
2049;876,3;594,95;494,6;431,85
2050;886;596;495;431
# Description: Electricity demand in the DNTE scenarios;;;;
# Source: Les donn_es pour 2030 et 2050 proviennent de l'""Etude des 4 trajectoires du DNTE, Grandjean, Blanchet, Finidori,p. 74	"""". Le reste est interpol_, y compris le point de d_part""";;;;
# Unit: TWh;;;;
# Le point de départ est égal à la conso plus export de RTE;;;;