Year;nuc_hist;river;lake;step
2015;NA;10314,1;8213,66;4965
2016;NA;10314,1;8213,66;5048,311066
2017;NA;10314,1;8213,66;5156,622131
2018;NA;10314,1;8213,66;5264,933197
2019;NA;10314,1;8213,66;5373,244263
2020;NA;10314,1;8213,66;5481,555329
2021;NA;10314,1;8213,66;5589,866394
2022;NA;10314,1;8213,66;5698,17746
2023;NA;10314,1;8213,66;5806,488526
2024;NA;10314,1;8213,66;5914,799591
2025;NA;10314,1;8213,66;6023,110657
2026;NA;10314,1;8213,66;6131,421723
2027;NA;10314,1;8213,66;6239,732789
2028;NA;10314,1;8213,66;6348,043854
2029;NA;10314,1;8213,66;6456,35492
2030;NA;10314,1;8213,66;6564,665986
2031;NA;10314,1;8213,66;6672,977051
2032;NA;10314,1;8213,66;6781,288117
2033;NA;10314,1;8213,66;6889,599183
2034;NA;10314,1;8213,66;6997,910249
2035;NA;10314,1;8213,66;7106,221314
2036;NA;10314,1;8213,66;7214,53238
2037;NA;10314,1;8213,66;7322,843446
2038;NA;10314,1;8213,66;7431,154511
2039;NA;10314,1;8213,66;7539,465577
2040;NA;10314,1;8213,66;7647,776643
2041;NA;10314,1;8213,66;7756,087709
2042;NA;10314,1;8213,66;7864,398774
2043;NA;10314,1;8213,66;7972,70984
2044;NA;10314,1;8213,66;8081,020906
2045;NA;10314,1;8213,66;8189,331971
2046;NA;10314,1;8213,66;8297,643037
2047;NA;10314,1;8213,66;8405,954103
2048;NA;10314,1;8213,66;8514,265169
2049;NA;10314,1;8213,66;8622,576234
2050;NA;10314,1;8213,66;8730,8873
# Units: MW;NA;;;
# Note : les capacités nucléaires sont calculées ailleurs à partir des durées de vie et des dates de visite décénnale;;;;