year;onshore;PV;coal;CCGT;TAC;river;lake;step;nuc_hist;nuc_retrofit;nuc_new
2015;45,67;13,5;45;25;15;60;80;20;170;170;170
2016;45,33;13;45;25;15;60;80;20;169;169;169
2017;45;12,5;45;25;15;60;80;20;168;168;168
2018;44,67;25;45;25;15;60;80;20;167;167;167
2019;44,33;12;45;25;15;60;80;20;166;166;166
2020;44;12;45;25;15;60;80;20;165;165;165
2021;44;12;45;25;15;60;80;20;165;165;165
2022;44;12;45;25;15;60;80;20;165;165;165
2023;44;12;45;25;15;60;80;20;165;165;165
2024;44;12;45;25;15;60;80;20;165;165;165
2025;44;12;45;25;15;60;80;20;165;165;165
2026;44;12;45;25;15;60;80;20;165;165;165
2027;44;12;45;25;15;60;80;20;165;165;165
2028;44;12;45;25;15;60;80;20;165;165;165
2029;44;12;45;25;15;60;80;20;165;165;165
2030;44;12;45;25;15;60;80;20;165;165;165
2031;44;12;45;25;15;60;80;20;165;165;165
2032;44;12;45;25;15;60;80;20;165;165;165
2033;44;12;45;25;15;60;80;20;165;165;165
2034;44;12;45;25;15;60;80;20;165;165;165
2035;44;12;45;25;15;60;80;20;165;165;165
2036;44;12;45;25;15;60;80;20;165;165;165
2037;44;12;45;25;15;60;80;20;165;165;165
2038;44;12;45;25;15;60;80;20;165;165;165
2039;44;12;45;25;15;60;80;20;165;165;165
2040;44;12;45;25;15;60;80;20;165;165;165
2041;44;12;45;25;15;60;80;20;165;165;165
2042;44;12;45;25;15;60;80;20;165;165;165
2043;44;12;45;25;15;60;80;20;165;165;165
2044;44;12;45;25;15;60;80;20;165;165;165
2045;44;12;45;25;15;60;80;20;165;165;165
2046;44;12;45;25;15;60;80;20;165;165;165
2047;44;12;45;25;15;60;80;20;165;165;165
2048;44;12;45;25;15;60;80;20;165;165;165
2049;44;12;45;25;15;60;80;20;165;165;165
2050;44;12;45;25;15;60;80;20;165;165;165
# Cost of fixed O&M per type of plant;;;;;;;;;;;
# Unit: $2015 per kW;;;;;;;;;;;
# Source: WEO 2016, investment costs;;;;;;;;;;;
# Link: http://www.worldenergyoutlook.org/weomodel/investmentcosts/;;;;;;;;;;;
# Additional comments: Coal subcritical, PV large scale;;;;;;;;;;;