Power.plant;Rg;Palier;Thermal.power.(MWt);Gross.power.(MWe);Net.power.(MWe);Start.constr.;Connec.to.network;Starting.year;Visit1;Visit2;Visit3;Visit4
Belleville;54;P'4;3817;1363;1310;1980;1987;1988;2000;2010;;NA
Belleville-2;55;P'4;3817;1363;1310;1980;1988;1989;1999;2009;;NA
Blayais;32;CP1;2785;951;910;1977;1981;1981;1992;2003;2012;NA
Blayais-2;33;CP1;2785;951;910;1977;1982;1983;1993;2003;2013;NA
Blayais-3;34;CP1;2785;951;910;1978;1983;1983;1994;2004;2014;NA
Blayais-4;35;CP1;2785;951;910;1978;1983;1983;1995;2005;2015;NA
Bugey;13;CP0;2785;945;910;1972;1978;1979;1990;2000;2010;NA
Bugey-3;14;CP0;2785;945;910;1973;1978;1979;1991;2002;2013;NA
Bugey-4;15;CP0;2785;917;880;1974;1979;1979;1990;2001;2011;NA
Bugey-5;16;CP0;2785;917;880;1974;1979;1980;1991;2001;2011;NA
Cattenom;50;P'4;3817;1362;1300;1979;1986;1987;1997;2006;2016;NA
Cattenom-2;53;P'4;3817;1362;1300;1980;1987;1988;1998;2008;;NA
Cattenom-3;60;P'4;3817;1362;1300;1982;1990;1991;2001;2011;;NA
Cattenom-4;65;P'4;3817;1362;1300;1983;1991;1992;2003;2013;;NA
Chinon-B;40;CP2;2785;954;905;1977;1982;1984;1994;2003;2013;NA
Chinon-B2;41;CP2;2785;954;905;1977;1983;1984;1996;2006;;NA
Chinon-B3;56;CP2;2785;954;905;1980;1986;1987;1999;2009;;NA
Chinon-B4;57;CP2;2785;954;905;1981;1987;1988;2000;2010;;NA
Chooz-B;62;N4;4270;1560;1500;1984;1996;2000;2010;;;NA
Chooz-B2;70;N4;4270;1560;1500;1985;1997;2000;2009;;;NA
Civaux;72;N4;4270;1561;1495;1988;1997;2002;2011;;;NA
Civaux-2;73;N4;4270;1561;1495;1991;1999;2002;2012;;;NA
Cruas;42;CP2;2785;956;915;1978;1983;1984;1995;2005;2014;NA
Cruas-2;43;CP2;2785;956;915;1978;1984;1985;1997;2007;2014;NA
Cruas-3;44;CP2;2785;956;915;1979;1984;1984;1994;2004;2014;NA
Cruas-4;45;CP2;2785;956;915;1979;1984;1985;1996;2006;2014;NA
Dampierre;22;CP1;2785;937;890;1975;1980;1980;1990;2001;2011;NA
Dampierre-2;29;CP1;2785;937;890;1975;1980;1981;1991;2002;2012;NA
Dampierre-3;30;CP1;2785;937;890;1975;1981;1981;1992;2003;2013;NA
Dampierre-4;31;CP1;2785;937;890;1975;1981;1981;1993;2004;2014;NA
Fessenheim;11;CP0;2660;920;880;1971;1977;1978;1989;1999;2009;NA
Fessenheim-2;12;CP0;2660;920;880;1972;1977;1978;1990;2001;2011;NA
Flamanville;46;P4;3817;1382;1330;1979;1985;1986;1997;2008;;NA
Flamanville-2;47;P4;3817;1382;1330;1980;1986;1987;1998;2008;;NA
Golfech;61;P'4;3817;1363;1310;1982;1990;1991;2001;2012;;NA
Golfech-2;68;P'4;3817;1363;1310;1984;1993;1994;2004;2014;;NA
Gravelines;20;CP1;2785;951;910;1975;1980;1980;1990;2001;2011;NA
Gravelines-2;21;CP1;2785;951;910;1975;1980;1980;1991;2002;2013;NA
Gravelines-3;27;CP1;2785;951;910;1975;1980;1981;1992;2002;2012;NA
Gravelines-4;28;CP1;2785;951;910;1976;1981;1981;1993;2003;2014;NA
Gravelines-5;51;CP1;2785;951;910;1979;1984;1985;1996;2006;;NA
Gravelines-6;52;CP1;2785;951;910;1979;1985;1985;1997;2008;;NA
Nogent;58;P'4;3817;1363;1310;1981;1987;1988;1998;2009;;NA
Nogent-2;59;P'4;3817;1363;1310;1982;1988;1989;1999;2010;;NA
Paluel;36;P4;3817;1382;1300;1977;1984;1985;1996;2006;;NA
Paluel-2;37;P4;3817;1382;1300;1978;1984;1985;1995;2005;2015;NA
Paluel-3;38;P4;3817;1382;1300;1979;1985;1986;1997;2007;;NA
Paluel-4;39;P4;3817;1382;1300;1980;1986;1986;1998;2008;;NA
Penly;63;P'4;3817;1382;1330;1982;1990;1990;2002;2011;2021;NA
Penly-2;64;P'4;3817;1382;1330;1984;1992;1992;2004;2014;;NA
Saint-Alban;48;P4;3817;1381;1335;1979;1985;1986;1997;2007;;NA
St-Alban-2;49;P4;3817;1381;1335;1979;1986;1987;1998;2008;;NA
St-Laurent;17;CP2;2785;956;915;1976;1981;1983;1996;2005;2015;NA
St-Laurent-B2;23;CP2;2785;956;915;1976;1981;1983;1993;2003;2013;NA
Tricastin;18;CP1;2785;955;915;1974;1980;1980;1990;1999;2009;2019
Tricastin-2;19;CP1;2785;955;915;1974;1980;1980;1991;2000;2011;NA
Tricastin-3;25;CP1;2785;955;915;1975;1981;1981;1992;2001;2012;NA
Tricastin-4;26;CP1;2785;955;915;1975;1981;1981;1992;2004;2014;NA
# Source : Wikipedia;;;;;;;;;;;;
# Link: https://fr.wikipedia.org/wiki/Visite_d%C3%A9cennale_des_r%C3%A9acteurs_nucl%C3%A9aires#Calendrier_des_visites_d.C3.A9cennales AND https://fr.wikipedia.org/wiki/Liste_des_r%C3%A9acteurs_nucl%C3%A9aires_en_France;;;;;;;;;;;;