month;onshore; PV;coal;CCGT;TAC; river;lake;step;nuc_hist;nuc_retrofit;nuc_new
Jan;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Feb;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Mar;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Apr;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
May;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Jun;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Jul;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Aug;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Sep;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Oct;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Nov;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9
Dec;NA;NA;0,9;0,9;0,9;NA;0,9;0,9;NA;NA;0,9